"Group","Biomass_Pg_wet_weight_estimate","Biomass_Pg_wet_weight_95CI_lower","Biomass_Pg_wet_weight_95CI_upper"
"Hetero_Bacteria",3.73194783050856,0.967519731533369,14.3949876738583
"Picophytoplankton",2.18561775015135,0.67876327644452,7.03768915548735
"Nanophytoplankton",1.7972873510017,0.558163773603012,5.78726527022547
"Microphytoplankton",1.35294246998743,0.420168468940195,4.35647475335952
"Nanozooplankton",1.21427627333,0.185831117844298,7.93444545282022
"Microzooplankton",2.32695178831327,0.35611339980002,15.2050010703754
"Mesozooplankton",4.06597184429407,0.528048291466763,31.3079832010644
"Macrozooplankton",0.235834759476064,0.0207059676265454,2.68608716000452
"Mesopelagics",0,0,0
"Fish",5.52603362119833,1.10520672423967,27.6301681059917
"Mammals",0.4418528248736,0.0631218321248,3.0929697741152
