"log10_Vol_um3","log10_fgC","Source"
-2.63515697846839,-0.140744936372356,"Sargasso Sea, n = 145"
-2.34935490679612,-0.937929984209978,"Sargasso Sea, n = 145"
-2.15515099375613,-0.296657377894503,"Sargasso Sea, n = 145"
-2.17826694488454,-0.0848519986000049,"Sargasso Sea, n = 145"
-2.34776254585385,0.149652539361506,"Sargasso Sea, n = 145"
-2.25412317285933,0.105344294618835,"Sargasso Sea, n = 145"
-2.16039830397529,0.119429742416915,"Sargasso Sea, n = 145"
-2.0902703005982,0.0168560489677705,"Sargasso Sea, n = 145"
-2.08425352737338,0.126312161523109,"Sargasso Sea, n = 145"
-2.07241234667515,0.213838578417096,"Sargasso Sea, n = 145"
-2.13098771798112,0.206859976435195,"Sargasso Sea, n = 145"
-2.16010975534817,0.316508454741949,"Sargasso Sea, n = 145"
-1.98480043389164,0.0527750095514934,"Sargasso Sea, n = 145"
-1.87956568088125,-0.071888684351848,"Sargasso Sea, n = 145"
-2.03185523408507,-0.0856535225642356,"Sargasso Sea, n = 145"
-1.96756232516759,-0.173596731919623,"Sargasso Sea, n = 145"
-2.06717572344217,-0.209547753461916,"Sargasso Sea, n = 145"
-2.10134201829078,0.45487286494054,"Sargasso Sea, n = 145"
-1.97266001758009,0.344679350338109,"Sargasso Sea, n = 145"
-1.92593651395854,0.256832323858429,"Sargasso Sea, n = 145"
-1.80285449401128,0.32185194783682,"Sargasso Sea, n = 145"
-1.80300411181794,0.219662985890507,"Sargasso Sea, n = 145"
-1.63901230873634,0.226064490618162,"Sargasso Sea, n = 145"
-1.51596234974765,0.269186479893771,"Sargasso Sea, n = 145"
-1.5509194815743,0.393465442294282,"Sargasso Sea, n = 145"
-1.47477470497239,0.400347861400476,"Sargasso Sea, n = 145"
-1.50435628274559,0.196130242300694,"Sargasso Sea, n = 145"
-1.29947607050205,0.129315204642427,"Sargasso Sea, n = 145"
-1.29342723631865,0.260668951900546,"Sargasso Sea, n = 145"
-1.38115670595025,0.341441193522617,"Sargasso Sea, n = 145"
-1.40443296187151,0.443758399303208,"Sargasso Sea, n = 145"
-1.45110303056211,0.568101483620858,"Sargasso Sea, n = 145"
-1.39239941542186,0.662670624413885,"Sargasso Sea, n = 145"
-1.33960570364453,0.720775768327513,"Sargasso Sea, n = 145"
-1.39814901399194,0.735694801048393,"Sargasso Sea, n = 145"
-1.35739953565045,0.56758850828375,"Sargasso Sea, n = 145"
-1.29874935544115,0.625661591238809,"Sargasso Sea, n = 145"
-1.26349298800119,0.705760552730925,"Sargasso Sea, n = 145"
-1.18155586488443,0.668815641472988,"Sargasso Sea, n = 145"
-1.19921076606989,0.610518131807944,"Sargasso Sea, n = 145"
-1.23411446296559,0.771293152046424,"Sargasso Sea, n = 145"
-1.49193800479311,0.67781408384475,"Sargasso Sea, n = 145"
-1.44494732651682,0.772447346554916,"Sargasso Sea, n = 145"
-1.55041719322338,0.736528385971193,"Sargasso Sea, n = 145"
-1.58564149970477,0.678327059181858,"Sargasso Sea, n = 145"
-1.68525489797936,0.642376037639565,"Sargasso Sea, n = 145"
-1.71465479698734,0.562245015188879,"Sargasso Sea, n = 145"
-1.72648529069938,0.482017809862485,"Sargasso Sea, n = 145"
-1.80251251045321,0.555426717999823,"Sargasso Sea, n = 145"
-1.85527416127197,0.519219208788977,"Sargasso Sea, n = 145"
-1.95480206365703,0.541661879787436,"Sargasso Sea, n = 145"
-1.95462038489181,0.665748476436531,"Sargasso Sea, n = 145"
-1.9194174523828,0.709351380090679,"Sargasso Sea, n = 145"
-1.84910777024048,0.73086428329063,"Sargasso Sea, n = 145"
-1.81963306232918,0.862089786714473,"Sargasso Sea, n = 145"
-1.74934475415924,0.869004266779236,"Sargasso Sea, n = 145"
-1.75538290135645,0.74494973108871,"Sargasso Sea, n = 145"
-1.67918468982358,0.788328208032873,"Sargasso Sea, n = 145"
-1.57368276215845,0.846144803319377,"Sargasso Sea, n = 145"
-1.74915238840783,1.00039007499593,"Sargasso Sea, n = 145"
-1.56761255400268,0.992096973712686,"Sargasso Sea, n = 145"
-1.5208142414778,0.955344428206162,"Sargasso Sea, n = 145"
-1.51482952921154,1.04290290605872,"Sargasso Sea, n = 145"
-1.45615797502986,1.11557441214897,"Sargasso Sea, n = 145"
-1.403503194073,1.07878980568387,"Sargasso Sea, n = 145"
-1.37427428684405,1.04213344305306,"Sargasso Sea, n = 145"
-1.39201468391903,0.925442240847264,"Sargasso Sea, n = 145"
-1.321608818901,1.01264804815556,"Sargasso Sea, n = 145"
-1.2921341109897,1.1438735515794,"Sargasso Sea, n = 145"
-1.28641657337818,1.04895174024211,"Sargasso Sea, n = 145"
-1.23362286160086,1.10705688415574,"Sargasso Sea, n = 145"
-1.19249933874273,1.19442299625688,"Sargasso Sea, n = 145"
-1.16321699658284,1.19426269146404,"Sargasso Sea, n = 145"
-1.17510092522583,1.07753942829967,"Sargasso Sea, n = 145"
-1.15184604327695,0.960623799383895,"Sargasso Sea, n = 145"
-1.27489600226564,0.917501810108286,"Sargasso Sea, n = 145"
-1.2689006030132,1.01235949952844,"Sargasso Sea, n = 145"
-1.20469318998523,0.866022597632298,"Sargasso Sea, n = 145"
-1.2106565282791,0.793062542914929,"Sargasso Sea, n = 145"
-1.09358059457048,0.755925265905574,"Sargasso Sea, n = 145"
-1.01151522761945,0.806570893458763,"Sargasso Sea, n = 145"
-1.02893501510873,0.908856038280784,"Sargasso Sea, n = 145"
-0.946933770074835,0.915706396428409,"Sargasso Sea, n = 145"
