"lon","lat","boats_tcb_gCm3","feisty_tcb_gCm3","feisty_b10_gCm3"
-179.5,89.5,0.155262975394726,0.499388379415251,0.323242953974081
-178.5,89.5,0.155145286396146,0.499289459723098,0.323154773012079
-177.5,89.5,0.155027555922667,0.499190294258939,0.323066379670144
-176.5,89.5,0.154909473657608,0.499090913252329,0.322977800598389
-175.5,89.5,0.154790746420622,0.498991381216767,0.322889097325654
-174.5,89.5,0.154671612009406,0.498891699762193,0.322800279429634
-173.5,89.5,0.154552121212085,0.498791913502527,0.322711382925488
-172.5,89.5,0.154432583476106,0.498692031624643,0.322622424421553
-171.5,89.5,0.154312583183249,0.498592118493172,0.322533460030691
-170.5,89.5,0.154191768914461,0.498492192277325,0.322444510722249
-169.5,89.5,0.154071037595471,0.498392301133531,0.322355619225422
-168.5,89.5,0.153949985280633,0.498292414248289,0.322266764459983
-167.5,89.5,0.153828578814864,0.498192601336835,0.322178007457765
-166.5,89.5,0.153707332784931,0.498092898163184,0.322089380099913
-165.5,89.5,0.153586073343952,0.497993299741897,0.322000885160285
-164.5,89.5,0.153464875991146,0.49789381824477,0.321912533568088
-163.5,89.5,0.153343287607034,0.497794518309408,0.321824383178797
-162.5,89.5,0.153265904759367,0.493183967597313,0.320097893209913
-161.5,89.5,0.153204143916567,0.493082695972715,0.320014016803369
-160.5,89.5,0.153142294287682,0.492982038098926,0.319930802263005
-159.5,89.5,0.153080374995867,0.492881999197216,0.319848250678218
-158.5,89.5,0.153018410255512,0.49278260794497,0.319766389337592
-157.5,89.5,0.152956405902902,0.492683813582607,0.319685172251268
-156.5,89.5,0.152894321332375,0.492585671763191,0.319604642587196
-155.5,89.5,0.15283226420482,0.492488164081752,0.319524785384259
-154.5,89.5,0.152770235886176,0.492391247531533,0.319445560625145
-153.5,89.5,0.152708255499601,0.492294982789606,0.31936701932707
-152.5,89.5,0.152646234134833,0.492199297274688,0.319289092489122
-151.5,89.5,0.152584089338779,0.492104215481026,0.319211798804893
-150.5,89.5,0.152521810804804,0.492009735169162,0.319135133589327
-149.5,89.5,0.152459351842602,0.491915819879138,0.319059060281776
-148.5,89.5,0.152396762122711,0.491822442766101,0.31898355548917
-147.5,89.5,0.152334180101752,0.491729616659981,0.31890862139152
-146.5,89.5,0.152271553749839,0.491637313778103,0.318834232511591
-145.5,89.5,0.15220887636145,0.49154549259496,0.318760348021803
-144.5,89.5,0.152146031831702,0.491454169979401,0.318686978118632
-143.5,89.5,0.152083190654715,0.491363281020067,0.318614064437091
-142.5,89.5,0.152020316322645,0.491272847657559,0.318541615237196
-141.5,89.5,0.151957461858789,0.491182774357803,0.318469535275263
-140.5,89.5,0.151894602676233,0.491092073937411,0.318396839814614
-139.5,89.5,0.151831788818041,0.491001133602869,0.318323904688277
-138.5,89.5,0.151768968130151,0.490910091705625,0.318250875007448
-137.5,89.5,0.151706024135152,0.490818988301382,0.318177787415353
-136.5,89.5,0.151643106341362,0.490727868512416,0.318104688017675
-135.5,89.5,0.15158020829161,0.490636759630978,0.318031596502435
-134.5,89.5,0.151517273982366,0.490545694453348,0.317958545115048
-133.5,89.5,0.151454204072555,0.490454672368185,0.317885532979036
-132.5,89.5,0.151391052703063,0.490363704051935,0.317812568569957
-131.5,89.5,0.151327778150638,0.490272824021975,0.317739681815454
-130.5,89.5,0.151264493415753,0.490182002380843,0.317666848286285
-129.5,89.5,0.1512012116611,0.49009123487246,0.317594056371884
-128.5,89.5,0.151137855524818,0.490000526828197,0.317521309301551
-127.5,89.5,0.151074494794011,0.489909864072191,0.317448593979607
