"log10_BodySize","lower_95","upper_95"
-13.5,29.0833431846331,29.3262048403224
-12.5,28.0397000122022,28.2599846128666
-11.5,26.9955772828807,27.1942439423014
-10.5,25.9508004502385,26.1291573750568
-9.5,24.9051198105107,25.0649746148979
-8.5,23.8581857916255,24.0020452338964
-7.5,22.8095386786394,22.9408289469957
-6.5,21.7586519002337,21.8818523255147
-5.5,20.7050726540439,20.8255681718177
-4.5,19.6486238167933,19.7721536091816
-3.5,18.5895031196769,18.7214109064113
-2.5,17.5281731645759,17.6728774616255
-1.5,16.4651594510155,16.6260277752992
-0.5,15.4009157200902,15.5804081063378
0.5,14.3357851902909,14.5356752362503
1.5,13.2700125044902,13.4915845221643
2.5,12.2037685923193,12.4479650344485
3.5,11.1371729546748,11.4046972722062
4.5,10.0703100425236,10.3616967844707
5.5,9.00324045786899,9.31890296923859
6.5,7.93600842955297,8.27627159766787
7.5,6.86864678920421,7.23376983812989
8.5,5.80118030870501,6.19137291874236
