"log10_BodySize","lower_95","upper_95"
-13.5,28.7998354469964,29.7290286938252
-12.5,27.7738262211129,28.6431262576451
-11.5,26.7462650569601,27.5587757597343
-10.5,25.7168036802448,26.476325474386
-9.5,24.6850170933748,25.3962003991924
-8.5,23.6504005187693,24.3189053117342
-7.5,22.6123806892112,23.2450134792288
-6.5,21.5703514133956,22.1751310929808
-5.5,20.5237405025118,21.1098303418009
-4.5,19.4721027463206,20.0495564359286
-3.5,18.4152132464691,18.9945342737165
-2.5,17.3531217295311,17.9447141285909
-1.5,16.2861401196424,16.899784076416
-0.5,15.2147699911882,15.8592425428065
0.5,14.1396051771981,14.822495694733
1.5,13.061246191053,13.7889430188145
2.5,11.9802446648008,12.7580328830031
3.5,10.8970774944981,11.7292883912422
4.5,9.81214170823867,10.702312515438
5.5,8.72576056053687,9.67678200107625
6.5,7.63819413298103,8.65243676656847
7.5,6.54965064988743,7.62906858759847
8.5,5.46029675718294,6.60651081823936
