"log10_BodySize","lower_95","upper_95"
-13.5,28.415313857501,29.3119865725493
-12.5,27.3993683899606,28.239032754367
-11.5,26.3813193297366,27.1681825288683
-10.5,25.3607156042936,26.0998869685886
-9.5,24.3370328941583,25.0346703930012
-8.5,23.3096924077979,23.9731115936389
-7.5,22.2781047787364,22.9157999369777
-6.5,21.2417422059623,21.8632632240291
-5.5,20.2002281221606,20.8158780221082
-4.5,19.1534162337506,19.7737906247954
-3.5,18.1014246827812,18.7368828900421
-2.5,17.0446083076033,17.7047999794973
-1.5,15.9834829200868,16.6770260812912
-0.5,14.9186351587712,15.652974556884
0.5,13.8506476039769,14.6320628259557
1.5,12.7800517880835,13.6137593561263
2.5,11.7073070689632,12.5976047895239
3.5,10.6327971440534,11.583215428711
4.5,9.55683606895846,10.5702772180833
5.5,8.47967809616431,9.55853590515474
6.5,7.40152810892583,8.54778660667052
7.5,6.32255113477901,7.53786429509464
8.5,5.24288040603533,6.52863573811563
