"Surface_Chlorophyll_a","Latitude","Longitude","Acantharia_.mgC.m2.","Collodaria_.mgC.m2.","Phaeodaria_.mgC.m2.","Rhizaria_.other._.mgC.m2.","Layer_depth_.m.","SST","BATHY","CHLO","tot_rhiz","upperz","lowerz","avez","rhiz_dens","logchlo","Depth","logdepth","logBiom"
0.0688983,38.9622,14.3237,0,790.456510035684,321.613880999822,133.030189761032,"0-500",20.0483333333333,-1480.315,0.0688983,1245.2307104938,500,0,250,2.49020116159308,-1.16179149376331,251,2.39967372148104,3.09524982292722
0.0600656,34.3285,19.8193,0,1255.14727174658,0,0,"0-500",21.2045833333333,-3338.5828,0.0600656,1255.27740144384,500,0,250,2.51029454349316,-1.22137418036675,251,2.39967372148104,3.09873971036183
0.0527544,34.2597,20.9845,0,41.1635214350668,75.8088030798286,0,"0-500",21.0908333333333,-2708.6614,0.0527544,117.102454212155,500,0,250,0.233944649029791,-1.27774131202973,251,2.39967372148104,2.06856599703331
0.04595,34.1838,22.1635,0,738.206486962997,423.876362819689,0,"0-500",20.7170833333333,-2803.1497,0.04595,1162.21297947995,500,0,250,2.32416569956537,-1.33771448427787,251,2.39967372148104,3.06528572128779
0.0595317,34.1167,23.3267,0,0,962.879822271991,0,"0-500",20.3375,-2645.6692,0.0595317,963.009951969251,500,0,250,1.92575964454398,-1.22525171546475,251,2.39967372148104,2.9836307752481
0.054925,34.0453,24.4963,0,2382.55368891692,179.745835670586,0,"0-500",20.8791666666667,-1984.252,0.054925,2562.42965428477,500,0,250,5.12459904917501,-1.26022993440745,251,2.39967372148104,3.40865195165394
0.050665,33.9735,25.6685,0,51.5271495857739,53.3315554393524,0,"0-500",21.3720833333333,-2015.748,0.050665,104.988834722386,500,0,250,0.209717410050253,-1.29529195301256,251,2.39967372148104,2.02114311548625
0.0695456,33.9027,26.836,0,3319.57354457476,37.9826887177808,0,"0-500",21.1779166666667,-2456.6929,0.0695456,3357.6863629898,500,0,250,6.71511246658508,-1.15773034167723,251,2.39967372148104,3.52604012682755
0.0428117,33.6988,30.16,0,296.963065021828,91.4622863434688,0,"0-500",21.3308333333333,-2582.6772,0.0428117,388.555481062557,500,0,250,0.776850702730594,-1.36843752652307,251,2.39967372148104,2.58945303960795
0.06026,33.5803,31.9337,0,1344.25201102531,59.7011479917499,0,"0-500",22.2454166666667,-2267.7166,0.06026,1404.08328871432,500,0,250,2.80790631803412,-1.21997087266266,251,2.39967372148104,3.14739287044064
0.0471325,33.4747,32.7728,0,21.5143430772941,107.230646155444,99.5410805769253,"0-500",22.3383333333333,-1259.8425,0.0471325,228.416199506923,500,0,250,0.456572139619327,-1.32667952380053,251,2.39967372148104,2.35872690126813
0.0506225,33.4753,32.7165,0,238.229034426744,366.77851745749,91.1912774789491,"0-500",22.3370833333333,-1259.8425,0.0506225,696.328959060443,500,0,250,1.39239765872637,-1.29565641094792,251,2.39967372148104,2.84281445707221
0.0516067,33.4767,32.6565,0,74.1260397126465,0,0,"0-500",22.3295833333333,-1259.8425,0.0516067,74.2561694099063,500,0,250,0.148252079425293,-1.28729391108334,251,2.39967372148104,1.87073254188652
0.0533183,33.474,32.5967,0,252.657597676618,129.849658699242,25.4690417985708,"0-500",22.3295833333333,-1259.8425,0.0533183,408.106427871691,500,0,250,0.815952596348862,-1.27312370607718,251,2.39967372148104,2.61077343517322
0.0536483,33.5243,32.5958,0,97.887883314624,1542.69250854508,17.0064866378121,"0-500",22.2916666666667,-1259.8425,0.0536483,1657.71700819478,500,0,250,3.31517375699503,-1.27044403534419,251,2.39967372148104,3.21951039336189
0.0536244,33.5757,32.594,0,130.198862125422,220.792723608732,0,"0-500",22.2916666666667,-1259.8425,0.0536244,351.121715431414,500,0,250,0.701983171468308,-1.27063755407336,251,2.39967372148104,2.54545768962029
0.0539217,33.6268,32.5935,0,93.0035106234595,298.020749022955,0,"0-500",22.2683333333333,-1259.8425,0.0539217,391.154389343675,500,0,250,0.782048519292829,-1.26823642416968,251,2.39967372148104,2.59234820805013
0.0528467,33.625,32.653,0,0,354.858024461356,213.037826635841,"0-500",22.2683333333333,-1259.8425,0.0528467,568.025980794457,500,0,250,1.13579170219439,-1.27698212692867,251,2.39967372148104,2.75436820024909
