"","X","MON","YEAR","lat","lon","depth","biomass_mgC_m3","SST","BATHY","CHLO","logchlo","logdepth","logBiom"
"3963",3963,9,"Core data repeated - different dino abundances presented.",56.1542,12.0012,3.5,16.19,16.20499963779,0,4.90753650665283,0.690863538955468,0.544068044350276,1.20924684875337
"3964",3964,10,"Core data repeated - different dino abundances presented.",56.1542,12.0012,3.5,13.58,12.2549997260794,0,9.27546977996826,0.967335914802577,0.544068044350276,1.13289976994448
"3965",3965,10,"Core data repeated - different dino abundances presented.",56.1542,12.0012,3.5,7.43,12.2549997260794,0,9.27546977996826,0.967335914802577,0.544068044350276,0.870988813760575
"3994",3994,6,"Core data repeated below for different types of ciliates",-41.3,171.3,2,4.1,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,0.301029995663981,0.612783856719735
"3995",3995,7,"Core data repeated below for different types of ciliates",-41.3,171.3,11,7.3,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,1.04139268515823,0.863322860120456
"3996",3996,6,"Core data repeated below for different types of ciliates",-41.3,171.3,26,5.16,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,1.41497334797082,0.712649701627211
"3997",3997,7,"Core data repeated below for different types of ciliates",-41.3,171.3,51,3.94,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,1.70757017609794,0.595496221825574
"3998",3998,6,"Core data repeated below for different types of ciliates",-41.3,171.3,76,0.89,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,1.88081359228079,-0.0506099933550872
"3999",3999,7,"Core data repeated below for different types of ciliates",-41.3,171.3,101,1.8,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,2.00432137378264,0.255272505103306
"4000",4000,6,"Core data repeated below for different types of ciliates",-41.3,171.3,151,1.75,14.3899996783584,-94.48819,0.631856381893158,-0.199381623678479,2.17897694729317,0.243038048686294
"4001",4001,7,"Core data repeated below for different types of ciliates",-41.3,171.3,201,0.11,13.6299996953458,-94.48819,0.476328909397125,-0.322093059448648,2.30319605742049,-0.958607314841775
"4002",4002,6,"Core data repeated below for different types of ciliates",-41.5,171.6,2,8.86,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,0.301029995663981,0.947433721887051
"4003",4003,7,"Core data repeated below for different types of ciliates",-41.5,171.6,11,10.12,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.04139268515823,1.00518051250378
"4004",4004,6,"Core data repeated below for different types of ciliates",-41.5,171.6,16,2.75,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.20411998265592,0.439332693830263
"4005",4005,7,"Core data repeated below for different types of ciliates",-41.5,171.6,26,5.68,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.41497334797082,0.754348335711019
"4006",4006,6,"Core data repeated below for different types of ciliates",-41.5,171.6,46,5.63,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.66275783168157,0.750508394851346
"4007",4007,7,"Core data repeated below for different types of ciliates",-41.5,171.6,61,7.04,12.7599997147918,-94.48819,1.08275520801544,0.0345302813484766,1.78532983501077,0.847572659142112
"4008",4008,6,"Core data repeated below for different types of ciliates",-41.5,171.6,76,0.17,13.75999969244,-94.48819,1.17921698093414,0.0715937244777439,1.88081359228079,-0.769551078621726
